0;12;13;4;Слыш, малой - вали-ка ты отсюда, а то нарвёшься на большие неприятности!
1;0;0;0;Это ещё кто?
0;6;8;3;Частота зашифрована. Вероятно - кто-то из спецподразделений.
1;0;0;5;По манере больше похоже на какого-то пивозавра-оборванца. Как думаешь, подыграть ему?
0;12;13;4;Эй, алё мудила? Есть кто дома? Или зассал когда увидел звонок от полиции?
0;6;8;2;Таро, не стоит поддаваться на провокации.
1;0;0;3;ИПИ, похоже, что это кто-то из верхушки бандитов. Если его проучить...
0;12;13;4;Короче, сосунок, либо ты сверкаешь пятками в каком-нибудь направлении, либо мы делаем из твоих яиц гоголь-моголь.
1;0;0;2;Ну если ты отполируешь мои нежные пяточки, то так уж и быть - улечу.
0;12;13;2;Ты чё чёрт? В край охуел? Ты как с госслужащим общаешься?
1;0;0;5;Госслужащим? Это в каком государстве у нас развелись такие отбросы? С такой речью - тебе только сапоги подшивать.
0;12;13;6;Братан, видел? У нас сегодня будет вечеринка. Чур я ему буду отбивать яйца, а то ты всегда самое весёлое берёшь себе.
0;6;8;0;Таро...
1;0;0;6;Вы там что-ли давно яиц не пробовали? За петушиными - это в соседнюю систему. Куриные вам уже не понравятся.
0;12;13;5;Тебе пиздец полный. Совсем обарзевший мудила. И сдохнешь ты здесь на отшибе и скормим твой труп свиньям.
1;0;0;1;Ребята, я вооружён до зубов, вам правда...
0;6;8;1;Таро, я закрываю канал общения.
1;0;0;3;Блин, ИПИ, ну что это за индивиды? Только небоскрёбы из мата строить умеют. Я с радостью приложу к их вискам свои бластеры.
0;6;8;2;Таро, нам нельзя вмешиваться в неприятности. Я доложу И.Р.И.С.-у по прибытию об этой ситуации.
1;0;0;5;Думаешь, что это что-то серьёзное? Очередные бандиты, только дерзкие.
1;0;0;5;Всё равно моя задача - всех убить. Быть может, если их устранить, то мы встретим меньше сопротивления?
