1;0;0;7;ИПИ, не знаешь, чего нам ожидать в этом месте? Прямого приказа не было, но была дана возможность атаки данной области.
0;6;8;5;Вам просто нужно уничтожить всех, кого Вы встретите. Обычно, сигналы рассылаются с данной целью.
1;0;0;4;Рассылаются? Явно будут желающие, пострелять за награду.
0;6;8;5;Всё верно. Наёмные бойцы всегда отзываются на подобные сигналы. Вы пересечётесь с ними.
1;0;0;3;Наёмные бойцы? Без флага? Теперь и такое в будущем разрешено?
0;6;8;2;Это наше настоящее. Да - разрешено.
0;6;8;3;И Вас никто даже не осудит, за их устранение. Они без флага.
1;0;0;2;А если прибудут гражданские, ты мне сообщишь?
0;6;8;6;Не прибудут. Данные мероприятия всегда заканчиваются потасовкой, живущие миром - бегут прочь от таких сигналов.
1;0;0;1;Беспорядок, да и только.
0;6;8;3;Наша лёгкая возможность получить больше космилита.
