Приманка;<color=#37badb>0.8 МВт.</color> Запуск приманки, которая отвлекает всех врагов на себя на <color=#ffe852>8с</color>.;Открыто изначально;-
ТПТ "Илья Муромецъ";<color=#37badb>1 МВт.</color> Запрос тактического протонного удара, который прибудет через <color=#ffe852>20с</color>.;Тактическое мышление;Пилотируя Тунец, совершите 2 подрыва ядерных боеголовок в течении 10 с.
Разгон движка;<color=#37badb>0.4 МВт.</color> Повышает скорость атаки и разброс главного оружия на <color=#ffe852>10с</color>.;Открыто изначально;-
Тепловые ракеты;<color=#37badb>1.1 МВт.</color> Дважды запускает по 4 самонаводящихся ракеты.;Наконец-то;Пилотируя Касатку, победите Бориса.
Бункер;<color=#37badb>0.6 МВт.</color> Установка небольшого <color=#abdade>неуязвимого</color> барьера, который блокирует вражеские снаряды.;Открыто изначально;-
Панцершторм;<color=#37badb>0.7 МВт.</color> <color=#ff5555>Потратьте всю броню:</color> турель совершает залп, каждый выстрел которого <color=#ffc757>парирует</color> вражеские снаряды, давая <color=#ffc757>броню</color>.;А ремонт и не нужен;Пилотируя Финвал, возымейте 40 ед. брони.
Яхтсмен;<color=#37badb>1.3 МВт.</color> На <color=#ffe852>5с</color> увеличивает эффективность тарана на 4.;Открыто изначально;-
Морские жёлуди;<color=#37badb>1.6 МВт</color> и <color=#ff5555>15#.</color> Выпускает рой из 10 самонаводящихся снарядов, каждый из которых <color=#00ff91>восстанавливает 4#</color>.;Во все тяжкие;Пилотируя Парусник, начните задание с 0#, а закончите с 45#.
Осмотический лишайник;<color=#37badb>0.8 МВт</color> и <color=#ff5555>плоть.</color> Выпуск лишайника, который вытягивает плоть из противников. Подберите, чтобы <color=#00ff91>получить плоть.</color>;Открыто изначально;-
Погонофоры;<color=#37badb>0.6 МВт</color> и <color=#ff5555>плоть.</color> Выпуск погонофоров, которые собирают плоть с противников. Поймайте, чтобы <color=#00ff91>получить плоть.</color>;Пищевая цепочка;Полностью насытите лишайник плотью существа из Вечности.
