ЗОЛОТАЯ ПРИСАДКА;Вы получаете больше аурита за уровень.
ИМПУЛЬСНЫЙ ТАРАН;Можно таранить более живучих противников.
КАПИТАЛКА;Полное техобслуживание корабля + сброс цены ремонта.
УСКОРИТЕЛЬ ГАУССА;Увеличивает скорость полёта снарядов.
УГНЕТАЮЩАЯ ПРОПАГАНДА;Противники теряют былую сноровку!
ВЕКТОР - ВРЕМЯ ++;Замедление времени эффективнее.
АДАПТИВНАЯ БРОНЯ;Понижает любой получаемый урон.
КОСМИЧЕСКАЯ ПРИСАДКА;Вы получите больше космилита за эту миссию.
СПУТНИК "ГУОН";Блокирует снаряды, кружась вокруг Вас. Не стеклянный.
СПУТНИК "РАДИАНТ";Атакующий, боевой дрон со средней живучестью.
ПЯТИФАЗНОЕ РЕЛЕ;Генерирует ауру, наносящую урон. Чувствительное.
ГАЗОВАЯ "КРОВЬ";Заменяет связывающее вещество наномашин взрывоопасным газом.
"СМЕРТЬ";Повышение вашей смертоносности, ценой живучести.
"ВУЛКАН";Дополнительное оружие, а точнее - два!
"ПРИЗРАК";Предотвращает любые столкновения...
СМАЗКА;Ускоряет подготовку оружия.
ГУСТОЙ ЭЛЕКТРОЛИТ;Упрощает обслуживание наномашин.
ТИТАНОВАЯ ПЛАСТИНА;Слишком банально. Может принять небольшое количество урона.
ПАКЕТ АКЦИЙ;В конце следующего уровня, получите дивиденды в размере 50-200 аурита.
ВАУЧЕР "ККК";Рискованная финансовая авантюра. "Либо вилка - либо торт" - ККК.
СПУТНИК "ЮПИТЕР";Спутник, защищающий своим корпусом.
СИГАРЕТЫ;ОПИСАНИЕ ЗАБЛОКИРОВАНО.
АМУЛЕТ УДАЧИ;Вы верите в удачу?
ЗОЛОТОЙ ЧЕРЕП;Значительно больше аурита и проблем.
ДЕ3 - ИНТЕГРАТ0Р;Оружие смерти. Нельзя улучшить.
ЗАГУСТИТЕЛЬ ЭФИРА;Вязкое пространство, почти как воздух.
СПУТНИК "ПАТРОН";Блокирует снаряды и ведёт ответный огонь!
СПУТНИКИ "ФРЕЗА";2 штуки. Блокируют снаряды и наносят урон. Не игрушка.
ЖЁЛТАЯ ДЕТАЛЬ;Деталь из необычного материала. Улучшит все системы.
МИНОКЛАД;Устанавливает мины. Будьте осторожны!
СПУТНИК "СТРАЙКЕР";Атакующий, боевой дрон со средней живучестью.
СПУТНИК "КОНСЕРВА";Чудо техники. Атакующий, боевой дрон с абсолютной живучестью.
ПОВЕРАП;Огневая мощь ++
"САЙГА";Особая деталь из германиевого сплава. Повысит огневую мощь.
СОСТАВ "СПЕКТРУМ";Пули прошивают противников, но на их обработку уходит время.
АККУМУЛЯТОР;3000 Ампер на 1 уровень для вашего главного оружия.
ИРИДИЕВАЯ БРОНЯ;Очень тяжелая броня. Полностью деградирует за 1 уровень.
ТАРАН РЕКУПЕРАТОР;Тараны рекуперируют наномашины.
ТЕПЛО - РАЗГОН;Разгон главного оружия, ценой точности.
"СТРАЖ";Комплект защитных спутников. Усложняет обслуживание наномашин.
"ФАЗА";При опасности телепортирует в случайное место. Вы точно уверены?
"БОЛТЕР";Рефакторинг вашего главного оружия под стандарты космического десанта.
3 СЛУЧАЙНЫХ МОДУЛЯ;3 случайных модуля. Что может пойти не так?
ПОВЕРАП ПОВЕРАПОВ;Увеличивает время действия желтых поверапов.
КАЛИМАТОР;Лучевой целеуказатель.
ПОСТАВКА КПГ-7;С каждой новой волной запускается КПГ-7.
ТУРБИНА;Уничтожение врага разгоняет главное оружие.
МИНИРОВАНИЕ;Зона сражения будет заминирована. Ваш хэш-ключ в белом списке.
СПУТНИК "ШАФТ";Атакующий, боевой дрон со средней живучестью.
КСАУ "ПИОН";Помощь артиллерии. 
СПУТНИК "РАКЕТА";Многоразовая  ракета, которая блокирует снаряды.
ЖИДКОЕ ВРЕМЯ;Замедление времени значительно эффективнее.
ДЕКОМПРЕССИЯ;Разжижает пространство - почти как вакуум!
СПУТНИК "ВЕНЕРА";Синтезирует наномашины в конце каждого задания.
СИНЯЯ ПРИСАДКА;Улучшает характеристики плазмы. Огневая мощь повышена.
СУПЕРЧАРДЖЕР;Главное оружие значительно разгоняется со временем.
ШТАММ "БЕШЕНСТВО";Биологическое оружие. Угнетение живучести, повышение агрессии.
АДДИТИВНЫЙ ТАРАН;Тараны улучшают корабль до конца миссии за наномашины.
ДВОЕНИЕ;Удвоить аурит.
БЕРСЕРК;Удвоить урон в критическом режиме. Повышает получаемый урон.
ПОСТАВКА МОДУЛЕЙ;+1 выбор модуля.
ОКТААЗАКУБАН;Присадка, улучшающая качество взрывов.
